UID,URL,Zone,Latitude,Longitude
b49,https://www.99acres.com/shop-for-rent-lease-in-shivaji-nagar-pune-1200-sq-ft-spid-H73201913,"in Shivaji Nagar, Pune",18.52568665,73.85304971
b50,https://www.99acres.com/shop-for-rent-lease-in-shivaji-nagar-pune-930-sq-ft-spid-D73629847,"in Shivaji Nagar, Pune",18.53341299,73.84980626
b51,https://www.99acres.com/shop-for-rent-lease-in-shivaji-nagar-pune-150-sq-ft-spid-A72884227,"in Shivaji Nagar, Pune",18.52935727,73.83555866
b52,https://www.99acres.com/shop-for-rent-lease-in-shivaji-nagar-pune-250-sq-ft-spid-X72176824,"in Shivaji Nagar, Pune",18.52640552,73.85064164
b53,https://www.99acres.com/shop-for-rent-lease-in-shukravar-peth-pune-190-sq-ft-spid-X71963768,"in Shukravar Peth, Pune",18.50841217,73.85559505
b54,https://www.99acres.com/shop-for-rent-lease-in-sampada-nagari-somwar-peth-pune-250-sq-ft-spid-O73558509,"in Somwar Peth, Pune",18.52152857,73.86569283
b55,https://www.99acres.com/shop-for-rent-lease-in-somwar-peth-pune-150-sq-ft-r3-spid-F55920196,"in Somwar Peth, Pune",18.52288656,73.86733136
b56,https://www.99acres.com/shop-for-rent-lease-in-somwar-peth-pune-280-sq-ft-spid-B73458533,"in Somwar Peth, Pune",18.51941718,73.86683097
b57,https://www.99acres.com/shop-for-rent-lease-in-swargate-pune-550-sq-ft-spid-C73452857,"in Swargate, Pune",18.50506725,73.86251059
b58,https://www.99acres.com/shop-for-rent-lease-in-swargate-pune-400-sq-ft-r2-spid-H72785857,"in Swargate, Pune",18.50554797,73.86243817
