UID,URL,NAME,RATING,TYPE,Latitude,Longitude
17,https://www.google.com/maps/place/Ganesh+Pan+Merchant/data=!4m7!3m6!1s0x3bc2bf764c741185:0x46f3c48ac78fda22!8m2!3d18.5289897!4d73.8271526!16s%2Fg%2F1pp2vc25v!19sChIJhRF0THa_wjsRItqPx4rE80Y?authuser=0&hl=en&rclk=1,Ganesh Pan Merchant,0,Bakery and Cake Shop,18.5289897,73.8271526
18,https://www.google.com/maps/place/Kavita+Bakery+%26+Super+Market/data=!4m7!3m6!1s0x3bc2bf75cdf4585b:0xea111785fc733bf0!8m2!3d18.529541!4d73.823512!16s%2Fg%2F1pp2vd_bz!19sChIJW1j0zXW_wjsR8Dtz_IUXEeo?authuser=0&hl=en&rclk=1,Kavita Bakery & Super Market,4.3,Bakery and Cake Shop,18.529541,73.823512
19,https://www.google.com/maps/place/Bharat+Bakery/data=!4m7!3m6!1s0x3bc2bf7794f4e3b7:0x56bbc5e8a3ff512d!8m2!3d18.5289393!4d73.8289428!16s%2Fg%2F11t55_3qq9!19sChIJt-P0lHe_wjsRLVH_o-jFu1Y?authuser=0&hl=en&rclk=1,Bharat Bakery,0,Bakery and Cake Shop,18.5289393,73.8289428
20,https://www.google.com/maps/place/Ganesh+Bakery+and+General+Stores/data=!4m7!3m6!1s0x3bc2c0672515c681:0x3f86728f2e1f649b!8m2!3d18.523892!4d73.862937!16s%2Fg%2F1tlbmlsq!19sChIJgcYVJWfAwjsRm2QfLo9yhj8?authuser=0&hl=en&rclk=1,Ganesh Bakery and General Stores,4.1,Bakery and Cake Shop,18.523892,73.862937
21,https://www.google.com/maps/place/Ajay+Bakery+And+Snacks/data=!4m7!3m6!1s0x3bc2c065d99a9a6b:0x14e2f73ba1ba4125!8m2!3d18.5206155!4d73.8590294!16s%2Fg%2F1pp2tydnk!19sChIJa5qa2WXAwjsRJUG6oTv34hQ?authuser=0&hl=en&rclk=1,Ajay Bakery And Snacks,4.5,Bakery and Cake Shop,18.5206155,73.8590294
22,https://www.google.com/maps/place/Alankar+Bakery+%26+General+Stores/data=!4m7!3m6!1s0x3bc2c0642bf49fb9:0xc93f04ac9aff5157!8m2!3d18.521694!4d73.859204!16s%2Fg%2F11ckvl4nps!19sChIJuZ_0K2TAwjsRV1H_mqwEP8k?authuser=0&hl=en&rclk=1,Alankar Bakery & General Stores,2.3,Bakery and Cake Shop,18.521694,73.859204
23,https://www.google.com/maps/place/WS+bakers+Kasba+peth/data=!4m7!3m6!1s0x3bc2c1a02d995dfd:0x1c28ba6061911fa7!8m2!3d18.5203953!4d73.8576805!16s%2Fg%2F11q9m1lcqy!19sChIJ_V2ZLaDBwjsRpx-RYWC6KBw?authuser=0&hl=en&rclk=1,WS bakers Kasba peth,4,Bakery and Cake Shop,18.5203953,73.8576805
24,https://www.google.com/maps/place/Maharashtra+Bakery+And+General+Shop/data=!4m7!3m6!1s0x3bc2c066cf747c41:0xc9e95de2fdadfad1!8m2!3d18.5238603!4d73.8615493!16s%2Fg%2F11c6ffxv1s!19sChIJQXx0z2bAwjsR0fqt_eJd6ck?authuser=0&hl=en&rclk=1,Maharashtra Bakery And General Shop,0,Bakery and Cake Shop,18.5238603,73.8615493
25,https://www.google.com/maps/place/bakeryworld/data=!4m7!3m6!1s0x3bc2ea8c0f91e39d:0x63c7020debd72782!8m2!3d18.5199387!4d73.856886!16s%2Fg%2F11bc73pw3q!19sChIJneORD4zqwjsRgifX6w0Cx2M?authuser=0&hl=en&rclk=1,bakeryworld,3,Bakery and Cake Shop,18.5199387,73.856886
26,https://www.google.com/maps/place/Madina+Bakery/data=!4m7!3m6!1s0x3bc2c066ae6daf99:0x98b027b879e1b5d9!8m2!3d18.5239588!4d73.8600795!16s%2Fg%2F11ckqswvzy!19sChIJma9trmbAwjsR2bXhebgnsJg?authuser=0&hl=en&rclk=1,Madina Bakery,3.7,Bakery and Cake Shop,18.5239588,73.8600795
27,https://www.google.com/maps/place/Sadaanadnagar/data=!4m7!3m6!1s0x3bc2c14a486bc747:0x139951c530757436!8m2!3d18.5239981!4d73.8646404!16s%2Fg%2F11v9mp0xxs!19sChIJR8drSErBwjsRNnR1MMVRmRM?authuser=0&hl=en&rclk=1,Sadaanadnagar,0,Bakery and Cake Shop,18.5239981,73.8646404
28,https://www.google.com/maps/place/Friends+Bakers/data=!4m7!3m6!1s0x3bc2c0643469556d:0x2922ad268fe3af1e!8m2!3d18.5215952!4d73.8584138!16s%2Fg%2F1pp2tydbm!19sChIJbVVpNGTAwjsRHq_jjyatIik?authuser=0&hl=en&rclk=1,Friends Bakers,4.2,Bakery and Cake Shop,18.5215952,73.8584138
29,https://www.google.com/maps/place/Galaxy+Xerox/data=!4m7!3m6!1s0x3bc2c1523216ee31:0x5ad4032158ce86e!8m2!3d18.5234169!4d73.8694203!16s%2Fg%2F11tdw41fnx!19sChIJMe4WMlLBwjsRbuiMFTJArQU?authuser=0&hl=en&rclk=1,Galaxy Xerox,0,Bakery and Cake Shop,18.5234169,73.8694203
