UID,URL,NAME,Latitude,Longitude
a78,https://www.google.com/maps/place/Shree+Devdeveshwar+Temple+%28Parvati+Temple%29/data=!4m7!3m6!1s0x3bc2c0092914712b:0x914fa134851ec8f2!8m2!3d18.4979339!4d73.8494686!16s%2Fg%2F1tx13tyg!19sChIJK3EUKQnAwjsR8sgehTShT5E?authuser=0&hl=en&rclk=1,Shree Devdeveshwar Temple (Parvati Temple),18.4979339,73.8494686
a79,https://www.google.com/maps/place/Shree+Dulya+Maruti+Mandir/data=!4m7!3m6!1s0x3bc2c0685482377d:0x91d6660cc61ae535!8m2!3d18.516169!4d73.8627929!16s%2Fg%2F1hf5dw5vp!19sChIJfTeCVGjAwjsRNeUaxgxm1pE?authuser=0&hl=en&rclk=1,Shree Dulya Maruti Mandir,18.516169,73.8627929
a80,https://www.google.com/maps/place/Shree+Kasba+Ganapati+Mandal/data=!4m7!3m6!1s0x3bc2c065856105c7:0x5ae2cbb0f0936fad!8m2!3d18.5190611!4d73.8570167!16zL20vMDRiZnI4!19sChIJxwVhhWXAwjsRrW-T8LDL4lo?authuser=0&hl=en&rclk=1,Shree Kasba Ganapati Mandal,18.5190611,73.8570167
a81,https://www.google.com/maps/place/Shree+Navagraha+Shani+Mandir/data=!4m7!3m6!1s0x3bc2c06574b46e37:0xf26e283b9a474cca!8m2!3d18.5196912!4d73.8562743!16s%2Fg%2F1tfvfnn3!19sChIJN260dGXAwjsRykxHmjsobvI?authuser=0&hl=en&rclk=1,Shree Navagraha Shani Mandir,18.5196912,73.8562743
a82,https://www.google.com/maps/place/Shree+Omkareshwar+Temple/data=!4m7!3m6!1s0x3bc2c07a37459ce3:0x90646f988cfb5dd9!8m2!3d18.5198727!4d73.8489289!16s%2Fg%2F1tk61kl0!19sChIJ45xFN3rAwjsR2V37jJhvZJA?authuser=0&hl=en&rclk=1,Shree Omkareshwar Temple,18.5198727,73.8489289
a83,https://www.google.com/maps/place/Shree+Trishunda+Ganpati+Mandir/data=!4m7!3m6!1s0x3bc2c066f80ca1df:0x2bef7438a1bfb61d!8m2!3d18.5216712!4d73.8618404!16s%2Fg%2F1261dghc8!19sChIJ36EM-GbAwjsRHba_oTh07ys?authuser=0&hl=en&rclk=1,Shree Trishunda Ganpati Mandir,18.5216712,73.8618404
a84,https://www.google.com/maps/place/Shreemant+Dagdusheth+Halwai+Ganpati+Mandir/data=!4m7!3m6!1s0x3bc2c06fa5b442ff:0x9df365f5b648bce1!8m2!3d18.5164297!4d73.8561329!16s%2Fm%2F04zxxlg!19sChIJ_0K0pW_AwjsR4bxItvVl850?authuser=0&hl=en&rclk=1,Shreemant Dagdusheth Halwai Ganpati Mandir,18.5164297,73.8561329
a85,"https://www.google.com/maps/place/Shreemant+Dagdusheth+Halwai+Ganpati+Mandir/@18.5164297,73.8509831,16z/data=!4m10!1m2!2m1!1spopular+temples+in+pune!3m6!1s0x3bc2c06fa5b442ff:0x9df365f5b648bce1!8m2!3d18.5164297!4d73.8561329!15sChdwb3B1bGFyIHRlbXBsZXMgaW4gcHVuZVoZIhdwb3B1bGFyIHRlbXBsZXMgaW4gcHVuZZIBDGhpbmR1X3RlbXBsZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOYU9FNDNURjkzUlJBQuABAA!16s%2Fm%2F04zxxlg?authuser=0&hl=en&entry=ttu",Shreemant Dagdusheth Halwai Ganpati Mandir,18.5164297,73.8561329
a86,https://www.google.com/maps/place/Shri+Ahobila+Mutt%27s+Shri+Balaji+Mandir/data=!4m7!3m6!1s0x3bc2c040b7b80817:0x7326e69af04d43ff!8m2!3d18.5095735!4d73.8712834!16s%2Fg%2F1tc_jlbt!19sChIJFwi4t0DAwjsR_0NN8JrmJnM?authuser=0&hl=en&rclk=1,Shri Ahobila Mutt's Shri Balaji Mandir,18.5095735,73.8712834
a87,https://www.google.com/maps/place/Shri+Dashbhuja+Ganpati+Mandir/data=!4m7!3m6!1s0x3bc2bf9317a45791:0x5cf4a781762f19ac!8m2!3d18.505765!4d73.8258388!16s%2Fm%2F02x5vk1!19sChIJkVekF5O_wjsRrBkvdoGn9Fw?authuser=0&hl=en&rclk=1,Shri Dashbhuja Ganpati Mandir,18.505765,73.8258388
